Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-03-24,LTCBTC,0.01898,0.01898,0.01841,0.01857,3015.75,56.23
2018-03-23,LTCBTC,0.01877,0.019,0.01872,0.01898,4024.3,75.88
2018-03-22,LTCBTC,0.01895,0.01918,0.01867,0.01877,4313.56,81.73
2018-03-21,LTCBTC,0.01895,0.01924,0.01871,0.01895,3596.34,68.5
2018-03-20,LTCBTC,0.01869,0.01925,0.0186,0.01895,6729.6,127.47
2018-03-19,LTCBTC,0.01877,0.01899,0.0185,0.01869,5338.11,99.73
2018-03-18,LTCBTC,0.01939,0.0197,0.01866,0.01877,10863.33,206.66
2018-03-17,LTCBTC,0.01993,0.01998,0.01931,0.01939,7467.91,146.63
2018-03-16,LTCBTC,0.01985,0.02011,0.0195,0.01993,6324.04,125.4
2018-03-15,LTCBTC,0.01959,0.02025,0.01943,0.01985,10064.87,199.57
2018-03-14,LTCBTC,0.01919,0.01995,0.01887,0.01959,8611.74,166.71
2018-03-13,LTCBTC,0.01948,0.01956,0.01895,0.01919,6847.06,131.65
2018-03-12,LTCBTC,0.01969,0.01991,0.01927,0.01948,4282.3,83.84
2018-03-11,LTCBTC,0.02013,0.02074,0.01948,0.01969,7410.92,149.82
2018-03-10,LTCBTC,0.02014,0.02061,0.01978,0.02013,8340.74,168.58
2018-03-09,LTCBTC,0.01884,0.021,0.01846,0.02014,20307.6,397.56
2018-03-08,LTCBTC,0.01877,0.01926,0.0184,0.01884,12086.01,226.93
2018-03-07,LTCBTC,0.0183,0.01878,0.01794,0.01877,12189.75,223.3
2018-03-06,LTCBTC,0.0184,0.01859,0.01813,0.0183,8652.39,159.0
2018-03-05,LTCBTC,0.01857,0.01883,0.01816,0.0184,9042.35,166.86
2018-03-04,LTCBTC,0.01831,0.01881,0.01831,0.01857,5770.81,106.97
2018-03-03,LTCBTC,0.0193,0.0196,0.0183,0.01831,6915.69,130.65
2018-03-02,LTCBTC,0.01918,0.01936,0.01864,0.0193,8048.78,152.24
2018-03-01,LTCBTC,0.01959,0.01992,0.01908,0.01918,9480.82,184.95
2018-02-28,LTCBTC,0.02032,0.02076,0.01958,0.01959,8290.37,165.31
2018-02-27,LTCBTC,0.0212,0.02142,0.02009,0.02032,11223.87,230.66
2018-02-26,LTCBTC,0.02279,0.02389,0.02112,0.0212,20084.13,454.98
2018-02-25,LTCBTC,0.02128,0.02326,0.02096,0.02279,19442.18,431.15
2018-02-24,LTCBTC,0.02042,0.02148,0.02015,0.02128,9940.84,205.68
2018-02-23,LTCBTC,0.01959,0.02072,0.01888,0.02042,11316.35,225.73
2018-02-22,LTCBTC,0.02007,0.02058,0.01925,0.01959,15199.92,300.57
2018-02-21,LTCBTC,0.02035,0.02059,0.01953,0.02007,17448.8,350.05
2018-02-20,LTCBTC,0.01988,0.02198,0.01929,0.02035,44192.86,918.2
2018-02-19,LTCBTC,0.02049,0.02082,0.01986,0.01988,12197.29,248.28
2018-02-18,LTCBTC,0.0207,0.02135,0.02001,0.02049,20823.0,430.77
2018-02-17,LTCBTC,0.02241,0.02262,0.02058,0.0207,14337.96,306.2
2018-02-16,LTCBTC,0.02208,0.02345,0.021,0.02241,27493.63,609.09
2018-02-15,LTCBTC,0.02248,0.02499,0.02045,0.02208,51163.35,1170.77
2018-02-14,LTCBTC,0.01866,0.02355,0.01864,0.02248,74566.57,1608.87
2018-02-13,LTCBTC,0.01813,0.01867,0.01805,0.01866,8168.48,149.79
2018-02-12,LTCBTC,0.01847,0.01861,0.018,0.01813,13792.73,251.85
2018-02-11,LTCBTC,0.01812,0.01862,0.01796,0.01847,7731.44,141.12
2018-02-10,LTCBTC,0.01888,0.01899,0.01788,0.01812,21976.24,406.4
2018-02-09,LTCBTC,0.01814,0.0189,0.01772,0.01888,22445.84,410.61
2018-02-08,LTCBTC,0.01819,0.01827,0.01726,0.01814,15293.77,270.58
2018-02-07,LTCBTC,0.01849,0.01882,0.01803,0.01819,26153.8,482.57
2018-02-06,LTCBTC,0.01812,0.01877,0.0175,0.01849,69578.35,1259.56
2018-02-05,LTCBTC,0.01798,0.01846,0.01738,0.01812,57152.02,1029.02
2018-02-04,LTCBTC,0.01755,0.01898,0.01714,0.01798,51077.47,916.17
2018-02-03,LTCBTC,0.01482,0.01757,0.01456,0.01755,33710.22,547.13
2018-02-02,LTCBTC,0.01557,0.01583,0.0134,0.01482,59702.89,876.56
