Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-04-09,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,1587549.51,0.648
2018-04-08,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.1e-07,812426.99,0.3325
2018-04-07,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.1e-07,775623.21,0.3144
2018-04-06,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,527475.33,0.2143
2018-04-05,DOGEBTC,3.9e-07,4.1e-07,3.9e-07,4.1e-07,526780.18,0.2124
2018-04-04,DOGEBTC,3.9e-07,4.1e-07,3.9e-07,3.9e-07,374386.79,0.1498
2018-04-03,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,3.9e-07,1780794.47,0.7049
2018-04-02,DOGEBTC,3.9e-07,4.0e-07,3.8e-07,4.0e-07,729623.17,0.2878
2018-04-01,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,3.9e-07,468586.86,0.1851
2018-03-31,DOGEBTC,3.9e-07,4.1e-07,3.8e-07,4.0e-07,1505288.83,0.5856
2018-03-30,DOGEBTC,3.8e-07,4.6e-07,3.8e-07,3.9e-07,1433766.25,0.5923
2018-03-29,DOGEBTC,3.9e-07,4.0e-07,3.8e-07,3.8e-07,701851.74,0.2766
2018-03-28,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,1030622.24,0.4066
2018-03-27,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,1203531.01,0.4739
2018-03-26,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,666875.17,0.2687
2018-03-25,DOGEBTC,4.1e-07,4.1e-07,3.9e-07,4.0e-07,869525.02,0.3521
2018-03-24,DOGEBTC,3.9e-07,4.2e-07,3.9e-07,4.1e-07,2509468.48,1.015
2018-03-23,DOGEBTC,4.1e-07,4.1e-07,3.9e-07,3.9e-07,1178000.69,0.4745
2018-03-22,DOGEBTC,4.2e-07,4.3e-07,4.0e-07,4.1e-07,1733711.43,0.7218
2018-03-21,DOGEBTC,4.0e-07,4.2e-07,4.0e-07,4.2e-07,1252277.64,0.514
2018-03-20,DOGEBTC,4.0e-07,4.2e-07,3.9e-07,4.0e-07,1077830.71,0.4371
2018-03-19,DOGEBTC,3.9e-07,4.3e-07,3.8e-07,4.0e-07,1583817.8,0.6372
2018-03-18,DOGEBTC,4.1e-07,4.2e-07,3.7e-07,3.9e-07,1035314.73,0.4124
2018-03-17,DOGEBTC,4.1e-07,4.3e-07,4.0e-07,4.1e-07,1119355.64,0.4652
2018-03-16,DOGEBTC,4.2e-07,4.4e-07,4.1e-07,4.1e-07,2335730.9,0.9897
2018-03-15,DOGEBTC,4.2e-07,4.5e-07,4.1e-07,4.2e-07,2127773.69,0.9061
2018-03-14,DOGEBTC,4.4e-07,4.5e-07,4.1e-07,4.2e-07,1182514.15,0.5062
