Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2016-06-14,ETHBTC,0.02511,0.02803,0.02489,0.02742,392524.06,10447.78
2016-06-13,ETHBTC,0.02367,0.02522,0.02308,0.02511,257906.73,6245.24
2016-06-12,ETHBTC,0.02357,0.02398,0.0221,0.02367,322962.24,7394.4
2016-06-11,ETHBTC,0.02419,0.0242,0.02344,0.02357,139709.59,3325.56
2016-06-10,ETHBTC,0.02493,0.02526,0.02386,0.02419,113892.07,2786.04
2016-06-09,ETHBTC,0.0249,0.02551,0.02461,0.02493,102075.0,2559.31
2016-06-08,ETHBTC,0.0249,0.02606,0.0247,0.0249,168889.67,4271.99
2016-06-07,ETHBTC,0.02389,0.02555,0.02329,0.0249,237097.58,5786.17
2016-06-06,ETHBTC,0.02432,0.02445,0.02345,0.02389,86618.38,2068.23
2016-06-05,ETHBTC,0.02396,0.02468,0.0234,0.02432,160787.63,3853.84
2016-06-04,ETHBTC,0.0244,0.02475,0.02273,0.02396,220131.07,5238.3
2016-06-03,ETHBTC,0.02556,0.02587,0.02311,0.0244,320726.62,7807.82
2016-06-02,ETHBTC,0.0257,0.02634,0.0252,0.02556,145102.72,3747.9
2016-06-01,ETHBTC,0.02642,0.02729,0.02493,0.0257,244610.1,6355.61
2016-05-31,ETHBTC,0.02373,0.02799,0.02334,0.02642,457705.25,11835.81
2016-05-30,ETHBTC,0.02378,0.02415,0.02271,0.02373,171950.25,4022.65
2016-05-29,ETHBTC,0.02242,0.024,0.0219,0.02378,377417.11,8673.39
2016-05-28,ETHBTC,0.0236,0.02507,0.02063,0.02242,792403.65,18058.53
2016-05-27,ETHBTC,0.02762,0.02762,0.0221,0.0236,900877.6,21536.5
2016-05-26,ETHBTC,0.02779,0.0291,0.02645,0.02762,319225.64,8807.06
2016-05-25,ETHBTC,0.02841,0.02903,0.02607,0.02779,356488.99,9813.19
2016-05-24,ETHBTC,0.03024,0.03097,0.02672,0.02841,566661.21,16207.16
2016-05-23,ETHBTC,0.03244,0.03299,0.02991,0.03024,258661.57,8155.52
2016-05-22,ETHBTC,0.0317,0.03285,0.03095,0.03244,202795.32,6482.46
2016-05-21,ETHBTC,0.0311,0.03175,0.0295,0.0317,272471.66,8344.15
2016-05-20,ETHBTC,0.03322,0.034,0.03,0.0311,589883.55,19116.03
2016-05-19,ETHBTC,0.02905,0.03322,0.02905,0.03322,654274.65,20520.02
2016-05-18,ETHBTC,0.0267,0.03155,0.0265,0.02905,727020.94,21058.87
2016-05-17,ETHBTC,0.02437,0.02766,0.02437,0.0267,520087.7,13637.66
2016-05-16,ETHBTC,0.02174,0.02558,0.02172,0.02437,469652.51,11267.68
2016-05-15,ETHBTC,0.02237,0.023,0.02151,0.02174,192972.61,4295.4
2016-05-14,ETHBTC,0.02313,0.02341,0.02131,0.02237,361280.23,8036.04
2016-05-13,ETHBTC,0.02237,0.02452,0.022,0.02313,454486.69,10631.83
2016-05-12,ETHBTC,0.022,0.02332,0.0217,0.02237,340423.93,7669.59
2016-05-11,ETHBTC,0.02071,0.02215,0.02071,0.022,238937.33,5136.8
2016-05-10,ETHBTC,0.0203,0.02099,0.02,0.02071,140594.44,2895.19
2016-05-09,ETHBTC,0.02075,0.0212,0.0198,0.0203,192323.37,3932.09
2016-05-08,ETHBTC,0.02033,0.02113,0.01943,0.02075,197333.35,3995.65
2016-05-07,ETHBTC,0.0201,0.02083,0.02,0.02033,130909.38,2663.98
2016-05-06,ETHBTC,0.02205,0.02232,0.0197,0.0201,225983.87,4729.21
2016-05-05,ETHBTC,0.02092,0.02253,0.0207,0.02205,178397.64,3881.93
2016-05-04,ETHBTC,0.02063,0.02244,0.0205,0.02092,216111.82,4637.4
2016-05-03,ETHBTC,0.0228,0.0229,0.02063,0.02063,263507.82,5666.23
2016-05-02,ETHBTC,0.01944,0.0235,0.01942,0.0228,615231.93,13480.34
2016-05-01,ETHBTC,0.01989,0.02017,0.0187,0.01944,249764.33,4818.18
2016-04-30,ETHBTC,0.01639,0.02081,0.01625,0.01989,698515.38,13183.34
2016-04-29,ETHBTC,0.01616,0.01725,0.01585,0.01639,187651.07,3104.85
2016-04-28,ETHBTC,0.01735,0.01797,0.01605,0.01616,246327.86,4144.47
2016-04-27,ETHBTC,0.01588,0.01767,0.0156,0.01735,450432.77,7614.42
2016-04-26,ETHBTC,0.01609,0.0164,0.01511,0.01588,443780.11,6999.53
2016-04-25,ETHBTC,0.01739,0.01775,0.0155,0.01609,458542.49,7537.53
2016-04-24,ETHBTC,0.01852,0.01875,0.01722,0.01739,222236.19,3991.81
2016-04-23,ETHBTC,0.01749,0.01958,0.01721,0.01852,312411.97,5739.19
2016-04-22,ETHBTC,0.0179,0.01864,0.017,0.01749,380553.91,6769.58
2016-04-21,ETHBTC,0.01934,0.02,0.01766,0.0179,310884.23,5859.49
2016-04-20,ETHBTC,0.01999,0.0203,0.01871,0.01934,321361.75,6278.32
2016-04-19,ETHBTC,0.021,0.0218,0.01977,0.01999,215973.61,4500.05
2016-04-18,ETHBTC,0.02198,0.02228,0.0198,0.021,367506.47,7735.89
2016-04-17,ETHBTC,0.01986,0.02275,0.01973,0.02198,482562.0,10450.97
2016-04-16,ETHBTC,0.01922,0.02011,0.0187,0.01986,154511.49,2993.67
2016-04-15,ETHBTC,0.01974,0.02025,0.01876,0.01922,248768.06,4845.32
2016-04-14,ETHBTC,0.01893,0.02089,0.01879,0.01974,281509.94,5590.89
2016-04-13,ETHBTC,0.01767,0.02054,0.01657,0.01893,806663.11,15026.36
2016-04-12,ETHBTC,0.02055,0.02056,0.01674,0.01767,653931.75,11881.39
2016-04-11,ETHBTC,0.02099,0.02137,0.0189,0.02055,301033.81,6061.83
2016-04-10,ETHBTC,0.02179,0.02208,0.0176,0.02099,1032114.4,20517.07
2016-04-09,ETHBTC,0.02322,0.02423,0.02154,0.02179,299792.99,6761.43
2016-04-08,ETHBTC,0.02394,0.02444,0.02259,0.02322,291354.24,6785.61
2016-04-07,ETHBTC,0.02548,0.02571,0.02346,0.02394,212815.61,5173.29
2016-04-06,ETHBTC,0.02451,0.026,0.0241,0.02548,186653.41,4699.66
2016-04-05,ETHBTC,0.02651,0.02657,0.0238,0.02451,294782.88,7397.72
2016-04-04,ETHBTC,0.02751,0.0276,0.02624,0.02651,146166.19,3915.43
2016-04-03,ETHBTC,0.0276,0.02795,0.02728,0.02751,55613.24,1530.69
2016-04-02,ETHBTC,0.02798,0.028,0.027,0.0276,110440.83,3029.44
2016-04-01,ETHBTC,0.02728,0.02848,0.02713,0.02798,122746.22,3431.61
2016-03-31,ETHBTC,0.02861,0.02901,0.02668,0.02728,251304.55,7032.55
