Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-02-09,XRPBTC,8.534e-05,8.594e-05,8.459e-05,8.525e-05,2567799.47,218.68
2019-02-08,XRPBTC,8.576e-05,8.799e-05,8.458e-05,8.534e-05,4762092.66,409.92
2019-02-07,XRPBTC,8.496e-05,8.64e-05,8.496e-05,8.576e-05,2241870.24,192.7
2019-02-06,XRPBTC,8.645e-05,8.645e-05,8.478e-05,8.496e-05,1866884.04,159.53
2019-02-05,XRPBTC,8.635e-05,8.705e-05,8.52e-05,8.645e-05,1526590.43,131.36
2019-02-04,XRPBTC,8.729e-05,8.787e-05,8.61e-05,8.635e-05,1746137.02,151.87
2019-02-03,XRPBTC,8.858e-05,8.916e-05,8.664e-05,8.729e-05,1210075.63,106.51
2019-02-02,XRPBTC,8.842e-05,8.919e-05,8.764e-05,8.858e-05,924619.55,81.88
2019-02-01,XRPBTC,8.996e-05,9.04e-05,8.684e-05,8.842e-05,3638583.63,321.08
2019-01-31,XRPBTC,9.281e-05,9.621e-05,8.877e-05,8.996e-05,8930541.16,824.78
2019-01-30,XRPBTC,8.41e-05,9.366e-05,8.384e-05,9.281e-05,7429413.16,675.51
2019-01-29,XRPBTC,8.505e-05,8.545e-05,8.358e-05,8.41e-05,1655195.21,139.91
2019-01-28,XRPBTC,8.642e-05,8.679e-05,8.288e-05,8.505e-05,4828449.8,409.85
2019-01-27,XRPBTC,8.763e-05,8.794e-05,8.613e-05,8.642e-05,1388740.66,120.44
2019-01-26,XRPBTC,8.799e-05,8.824e-05,8.709e-05,8.763e-05,1128116.0,99.02
2019-01-25,XRPBTC,8.85e-05,8.869e-05,8.021e-05,8.799e-05,2435359.07,213.22
2019-01-24,XRPBTC,8.83e-05,8.893e-05,8.81e-05,8.85e-05,878521.0,77.77
2019-01-23,XRPBTC,8.89e-05,8.918e-05,8.797e-05,8.83e-05,1223176.81,108.27
2019-01-22,XRPBTC,9.009e-05,9.017e-05,8.821e-05,8.89e-05,2801595.31,249.29
